date,BEN,CH4,CO,EBE,NMHC,NO,NO_2,NOx,O_3,PM10,PM25,SO_2,TCH,TOL,station
2018-03-01 01:00:00,,,0.30000001192092896,,,1.0,29.0,31.0,,,,2.0,,,28079004
2018-03-01 01:00:00,0.5,1.3899999856948853,0.30000001192092896,0.20000000298023224,0.019999999552965164,6.0,40.0,49.0,52.0,5.0,4.0,3.0,1.409999966621399,0.800000011920929,28079008
2018-03-01 01:00:00,0.4000000059604645,,,0.20000000298023224,,4.0,41.0,47.0,,,,,,1.100000023841858,28079011
2018-03-01 01:00:00,,,0.30000001192092896,,,1.0,35.0,37.0,54.0,,,,,,28079016
2018-03-01 01:00:00,,,,,,1.0,27.0,29.0,49.0,,,3.0,,,28079017
2018-03-01 01:00:00,0.30000001192092896,,0.30000001192092896,0.20000000298023224,,1.0,27.0,29.0,57.0,8.0,,6.0,,1.0,28079018
2018-03-01 01:00:00,0.4000000059604645,1.1100000143051147,0.20000000298023224,0.10000000149011612,0.05999999865889549,1.0,25.0,27.0,55.0,5.0,4.0,4.0,1.159999966621399,1.399999976158142,28079024
2018-03-01 01:00:00,,,,,,1.0,37.0,39.0,54.0,,,,,,28079027
2018-03-01 01:00:00,,,0.5,,,3.0,43.0,47.0,29.0,,,5.0,,,28079035
2018-03-01 01:00:00,,,0.20000000298023224,,,2.0,26.0,29.0,,4.0,,6.0,,,28079036
2018-03-01 01:00:00,0.4000000059604645,,,0.30000001192092896,,2.0,30.0,34.0,,2.0,2.0,3.0,,0.8999999761581421,28079038
2018-03-01 01:00:00,,,0.30000001192092896,,,1.0,28.0,29.0,59.0,,,,,,28079039
2018-03-01 01:00:00,,,,,,1.0,31.0,33.0,,4.0,,5.0,,,28079040
2018-03-01 01:00:00,,,,,,1.0,30.0,32.0,,2.0,2.0,,,,28079047
2018-03-01 01:00:00,,,,,,1.0,40.0,41.0,,8.0,7.0,,,,28079048
2018-03-01 01:00:00,,,,,,1.0,26.0,27.0,26.0,,,,,,28079049
2018-03-01 01:00:00,,,,,,11.0,41.0,58.0,,6.0,5.0,,,,28079050
2018-03-01 01:00:00,,,,,,1.0,15.0,17.0,66.0,,,,,,28079054
2018-03-01 01:00:00,0.30000001192092896,1.3700000047683716,,0.30000001192092896,0.029999999329447746,1.0,49.0,51.0,,5.0,,,1.409999966621399,1.100000023841858,28079055
2018-03-01 01:00:00,,,0.20000000298023224,,,9.0,57.0,71.0,37.0,12.0,9.0,,,,28079056
2018-03-01 01:00:00,,,0.30000001192092896,,,1.0,29.0,31.0,,3.0,,11.0,,,28079057
2018-03-01 01:00:00,,,,,,1.0,23.0,25.0,41.0,,,,,,28079058
2018-03-01 01:00:00,,,,,,1.0,29.0,31.0,54.0,,,,,,28079059
2018-03-01 01:00:00,,,,,,1.0,23.0,25.0,67.0,1.0,,,,,28079060
2018-03-01 02:00:00,,,0.30000001192092896,,,1.0,24.0,25.0,,,,2.0,,,28079004
2018-03-01 02:00:00,0.4000000059604645,1.4199999570846558,0.20000000298023224,0.10000000149011612,0.009999999776482582,4.0,26.0,32.0,64.0,4.0,4.0,3.0,1.440000057220459,0.699999988079071,28079008
2018-03-01 02:00:00,0.20000000298023224,,,0.10000000149011612,,3.0,24.0,29.0,,,,,,0.5,28079011
2018-03-01 02:00:00,,,0.20000000298023224,,,1.0,17.0,19.0,67.0,,,,,,28079016
2018-03-01 02:00:00,,,,,,1.0,15.0,16.0,57.0,,,3.0,,,28079017
2018-03-01 02:00:00,0.20000000298023224,,0.20000000298023224,0.10000000149011612,,4.0,21.0,26.0,62.0,6.0,,6.0,,0.800000011920929,28079018
2018-03-01 02:00:00,0.30000001192092896,1.100000023841858,0.20000000298023224,0.10000000149011612,0.05000000074505806,1.0,12.0,13.0,69.0,5.0,4.0,4.0,1.1399999856948853,0.800000011920929,28079024
2018-03-01 02:00:00,,,,,,1.0,30.0,32.0,54.0,,,,,,28079027
2018-03-01 02:00:00,,,0.5,,,3.0,35.0,39.0,30.0,,,5.0,,,28079035
2018-03-01 02:00:00,,,0.20000000298023224,,,1.0,12.0,13.0,,4.0,,6.0,,,28079036
2018-03-01 02:00:00,0.4000000059604645,,,0.30000001192092896,,1.0,24.0,26.0,,4.0,3.0,3.0,,1.0,28079038
2018-03-01 02:00:00,,,0.20000000298023224,,,1.0,22.0,23.0,65.0,,,,,,28079039
2018-03-01 02:00:00,,,,,,1.0,12.0,14.0,,3.0,,5.0,,,28079040
2018-03-01 02:00:00,,,,,,1.0,22.0,23.0,,4.0,3.0,,,,28079047
2018-03-01 02:00:00,,,,,,1.0,26.0,28.0,,4.0,3.0,,,,28079048
2018-03-01 02:00:00,,,,,,1.0,16.0,18.0,34.0,,,,,,28079049
2018-03-01 02:00:00,,,,,,8.0,26.0,38.0,,7.0,7.0,,,,28079050
2018-03-01 02:00:00,,,,,,1.0,11.0,12.0,64.0,,,,,,28079054
2018-03-01 02:00:00,0.30000001192092896,1.440000057220459,,0.30000001192092896,0.029999999329447746,1.0,26.0,28.0,,7.0,,,1.4700000286102295,1.100000023841858,28079055
2018-03-01 02:00:00,,,0.20000000298023224,,,5.0,29.0,37.0,57.0,8.0,6.0,,,,28079056
2018-03-01 02:00:00,,,0.30000001192092896,,,1.0,20.0,22.0,,3.0,,10.0,,,28079057
2018-03-01 02:00:00,,,,,,1.0,20.0,22.0,47.0,,,,,,28079058
2018-03-01 02:00:00,,,,,,1.0,13.0,15.0,69.0,,,,,,28079059
2018-03-01 02:00:00,,,,,,1.0,21.0,22.0,69.0,4.0,,,,,28079060
2018-03-01 03:00:00,,,0.30000001192092896,,,1.0,19.0,21.0,,,,1.0,,,28079004
2018-03-01 03:00:00,0.30000001192092896,1.409999966621399,0.20000000298023224,0.10000000149011612,0.009999999776482582,3.0,16.0,20.0,68.0,3.0,2.0,3.0,1.4199999570846558,0.4000000059604645,28079008
2018-03-01 03:00:00,0.20000000298023224,,,0.10000000149011612,,1.0,11.0,12.0,,,,,,0.30000001192092896,28079011
2018-03-01 03:00:00,,,0.20000000298023224,,,1.0,9.0,10.0,72.0,,,,,,28079016
2018-03-01 03:00:00,,,,,,1.0,12.0,13.0,55.0,,,3.0,,,28079017
2018-03-01 03:00:00,0.20000000298023224,,0.20000000298023224,0.10000000149011612,,1.0,12.0,14.0,65.0,9.0,,5.0,,0.5,28079018
2018-03-01 03:00:00,0.30000001192092896,1.1100000143051147,0.10000000149011612,0.10000000149011612,0.05000000074505806,1.0,12.0,13.0,65.0,6.0,5.0,4.0,1.159999966621399,1.0,28079024
2018-03-01 03:00:00,,,,,,1.0,14.0,15.0,64.0,,,,,,28079027
2018-03-01 03:00:00,,,0.4000000059604645,,,3.0,27.0,31.0,33.0,,,6.0,,,28079035
2018-03-01 03:00:00,,,0.20000000298023224,,,1.0,6.0,7.0,,4.0,,6.0,,,28079036
2018-03-01 03:00:00,0.30000001192092896,,,0.30000001192092896,,1.0,15.0,16.0,,6.0,5.0,3.0,,0.800000011920929,28079038
2018-03-01 03:00:00,,,0.20000000298023224,,,1.0,11.0,13.0,74.0,,,,,,28079039
2018-03-01 03:00:00,,,,,,1.0,9.0,10.0,,4.0,,5.0,,,28079040
2018-03-01 03:00:00,,,,,,1.0,15.0,17.0,,5.0,4.0,,,,28079047
2018-03-01 03:00:00,,,,,,1.0,14.0,16.0,,1.0,1.0,,,,28079048
2018-03-01 03:00:00,,,,,,1.0,13.0,15.0,41.0,,,,,,28079049
2018-03-01 03:00:00,,,,,,6.0,12.0,22.0,,5.0,3.0,,,,28079050
2018-03-01 03:00:00,,,,,,1.0,9.0,11.0,62.0,,,,,,28079054
2018-03-01 03:00:00,0.30000001192092896,1.2100000381469727,,0.20000000298023224,0.03999999910593033,1.0,11.0,12.0,,4.0,,,1.2400000095367432,0.699999988079071,28079055
2018-03-01 03:00:00,,,0.20000000298023224,,,3.0,15.0,19.0,66.0,7.0,5.0,,,,28079056
2018-03-01 03:00:00,,,0.20000000298023224,,,1.0,7.0,8.0,,2.0,,10.0,,,28079057
2018-03-01 03:00:00,,,,,,1.0,13.0,14.0,61.0,,,,,,28079058
2018-03-01 03:00:00,,,,,,1.0,7.0,8.0,68.0,,,,,,28079059
2018-03-01 03:00:00,,,,,,1.0,13.0,14.0,74.0,1.0,,,,,28079060
2018-03-01 04:00:00,,,0.30000001192092896,,,1.0,14.0,15.0,,,,1.0,,,28079004
2018-03-01 04:00:00,0.30000001192092896,1.399999976158142,0.20000000298023224,0.10000000149011612,0.009999999776482582,3.0,13.0,17.0,71.0,7.0,6.0,3.0,1.409999966621399,0.30000001192092896,28079008
2018-03-01 04:00:00,0.20000000298023224,,,0.10000000149011612,,1.0,9.0,11.0,,,,,,0.20000000298023224,28079011
2018-03-01 04:00:00,,,0.20000000298023224,,,1.0,7.0,9.0,72.0,,,,,,28079016
2018-03-01 04:00:00,,,,,,1.0,11.0,12.0,54.0,,,3.0,,,28079017
2018-03-01 04:00:00,0.20000000298023224,,0.20000000298023224,0.4000000059604645,,1.0,11.0,12.0,62.0,2.0,,5.0,,0.6000000238418579,28079018
2018-03-01 04:00:00,0.4000000059604645,1.159999966621399,0.10000000149011612,0.20000000298023224,0.05000000074505806,1.0,8.0,10.0,64.0,4.0,3.0,4.0,1.2100000381469727,1.100000023841858,28079024
2018-03-01 04:00:00,,,,,,1.0,7.0,8.0,71.0,,,,,,28079027
2018-03-01 04:00:00,,,0.4000000059604645,,,3.0,26.0,32.0,32.0,,,5.0,,,28079035
2018-03-01 04:00:00,,,0.20000000298023224,,,1.0,7.0,8.0,,3.0,,6.0,,,28079036
2018-03-01 04:00:00,0.20000000298023224,,,0.20000000298023224,,1.0,11.0,13.0,,2.0,2.0,3.0,,0.4000000059604645,28079038
2018-03-01 04:00:00,,,0.20000000298023224,,,1.0,8.0,10.0,74.0,,,,,,28079039
2018-03-01 04:00:00,,,,,,1.0,10.0,11.0,,3.0,,5.0,,,28079040
2018-03-01 04:00:00,,,,,,1.0,11.0,12.0,,3.0,2.0,,,,28079047
2018-03-01 04:00:00,,,,,,4.0,13.0,19.0,,3.0,3.0,,,,28079048
2018-03-01 04:00:00,,,,,,3.0,45.0,49.0,47.0,,,,,,28079049
2018-03-01 04:00:00,,,,,,7.0,9.0,20.0,,4.0,3.0,,,,28079050
2018-03-01 04:00:00,,,,,,1.0,11.0,12.0,62.0,,,,,,28079054
2018-03-01 04:00:00,0.20000000298023224,1.2000000476837158,,0.10000000149011612,0.029999999329447746,1.0,7.0,8.0,,4.0,,,1.2300000190734863,0.4000000059604645,28079055
2018-03-01 04:00:00,,,0.20000000298023224,,,2.0,14.0,18.0,64.0,2.0,1.0,,,,28079056
2018-03-01 04:00:00,,,0.20000000298023224,,,1.0,5.0,7.0,,3.0,,10.0,,,28079057
2018-03-01 04:00:00,,,,,,1.0,8.0,10.0,64.0,,,,,,28079058
2018-03-01 04:00:00,,,,,,1.0,11.0,13.0,65.0,,,,,,28079059
2018-03-01 04:00:00,,,,,,1.0,10.0,11.0,75.0,4.0,,,,,28079060
2018-03-01 05:00:00,,,0.30000001192092896,,,1.0,18.0,19.0,,,,1.0,,,28079004
2018-03-01 05:00:00,0.30000001192092896,1.600000023841858,0.20000000298023224,0.10000000149011612,0.009999999776482582,3.0,16.0,20.0,65.0,9.0,9.0,3.0,1.6100000143051147,0.4000000059604645,28079008
2018-03-01 05:00:00,0.10000000149011612,,,0.10000000149011612,,1.0,11.0,13.0,,,,,,0.30000001192092896,28079011
2018-03-01 05:00:00,,,0.20000000298023224,,,1.0,9.0,11.0,70.0,,,,,,28079016
2018-03-01 05:00:00,,,,,,1.0,12.0,14.0,55.0,,,3.0,,,28079017
